,Unnamed: 0,Date,close,high,low,open,volumefrom,volumeto,candlestick_pattern,candlestick_match_count
119,119,2019-06-06,7807.36,7872.1,7467.52,7791.29,44397.47,342084400.02,CDLLONGLEGGEDDOJI_Bull,5.0
120,120,2019-06-07,8002.63,8127.63,7767.37,7807.36,51105.14,407241297.23,CDLHIKKAKE_Bull,1.0
121,121,2019-06-08,7933.78,8058.91,7796.46,8002.63,23469.94,186055499.51,NO_PATTERN,0.0
122,122,2019-06-09,7643.44,7964.75,7535.9,7933.78,30301.73,234551796.21,CDLBELTHOLD_Bear,2.0
123,123,2019-06-10,8021.0,8061.5,7533.53,7643.44,43154.98,339520552.04,NO_PATTERN,0.0
124,124,2019-06-11,7917.32,8049.78,7724.58,8021.0,35850.45,282632009.38,NO_PATTERN,0.0
125,125,2019-06-12,8174.14,8250.0,7834.57,7917.32,49460.34,399065678.38,CDLHIKKAKE_Bear,1.0
126,126,2019-06-13,8235.57,8326.2,8053.65,8174.14,38536.25,315594036.87,CDLSPINNINGTOP_Bull,1.0
127,127,2019-06-14,8693.96,8724.42,8180.39,8235.57,50383.98,424131990.84,CDLCLOSINGMARUBOZU_Bull,1.0
128,128,2019-06-15,8853.56,8905.14,8621.48,8693.96,38140.15,333656492.38,NO_PATTERN,0.0
129,129,2019-06-16,8979.18,9372.89,8800.96,8853.56,84289.2,767025702.52,CDLADVANCEBLOCK_Bear,1.0
130,130,2019-06-17,9336.01,9468.85,8976.99,8979.18,65486.04,606269265.79,CDLBELTHOLD_Bull,1.0
131,131,2019-06-18,9081.71,9357.22,8941.83,9336.01,51829.13,473016555.83,CDLBELTHOLD_Bear,1.0
132,132,2019-06-19,9280.54,9313.18,9045.47,9081.71,32012.68,293070485.25,NO_PATTERN,0.0
133,133,2019-06-20,9536.85,9600.28,9219.81,9280.54,45144.43,424436854.57,CDLHIKKAKE_Bear,1.0
134,134,2019-06-21,10218.87,10230.86,9536.85,9536.85,77828.7,765543626.6,CDLBELTHOLD_Bull,3.0
135,135,2019-06-22,10689.54,11207.97,10086.32,10218.87,115793.98,1240328392.49,CDLADVANCEBLOCK_Bear,1.0
136,136,2019-06-23,10855.99,11285.51,10513.81,10689.54,57082.02,619160985.99,CDLADVANCEBLOCK_Bear,2.0
137,137,2019-06-24,11035.74,11100.92,10555.71,10855.99,52118.36,565444720.43,NO_PATTERN,0.0
138,138,2019-06-25,11740.34,11778.22,10992.37,11035.74,84123.73,953962631.15,CDLBELTHOLD_Bull,4.0
139,139,2019-06-26,12913.28,13826.76,11679.1,11740.34,211449.88,2685872365.1,NO_PATTERN,0.0
140,140,2019-06-27,11154.09,13314.05,10335.34,12913.28,202428.68,2345027203.81,NO_PATTERN,0.0
141,141,2019-06-28,12355.06,12433.0,10772.75,11154.09,120700.97,1408438810.31,CDLCLOSINGMARUBOZU_Bull,1.0
142,142,2019-06-29,11884.1,12362.9,11352.27,12355.06,81875.16,968516834.6,NO_PATTERN,0.0
143,143,2019-06-30,10769.05,12200.02,10677.83,11884.1,80893.36,917158052.37,CDLCLOSINGMARUBOZU_Bear,2.0
144,144,2019-07-01,10591.87,11207.0,10006.43,10769.05,115739.97,1225129699.57,CDLHIGHWAVE_Bear,2.0
145,145,2019-07-02,10844.13,10927.6,9678.1,10591.87,120994.95,1239524970.43,NO_PATTERN,0.0
146,146,2019-07-03,11981.61,12009.59,10841.91,10844.13,115565.16,1313585829.89,CDLBELTHOLD_Bull,3.0
147,147,2019-07-04,11156.52,12055.11,11067.68,11981.61,71141.03,831236841.56,CDLCLOSINGMARUBOZU_Bear,3.0
148,148,2019-07-05,10993.25,11435.38,10787.94,11156.52,66066.75,734424868.07,CDLSPINNINGTOP_Bear,1.0
149,149,2019-07-06,11248.94,11709.27,10985.4,10993.25,48172.2,549769169.13,NO_PATTERN,0.0
150,150,2019-07-07,11474.28,11605.43,11109.42,11248.94,36847.21,418161890.29,NO_PATTERN,0.0
151,151,2019-07-08,12296.16,12386.28,11339.02,11474.28,63847.27,762033323.29,CDLCLOSINGMARUBOZU_Bull,2.0
152,152,2019-07-09,12567.02,12808.06,12117.31,12296.16,79607.47,993891866.34,NO_PATTERN,0.0
153,153,2019-07-10,12099.12,13183.73,11569.94,12567.02,124523.09,1554955347.89,CDLSPINNINGTOP_Bear,1.0
154,154,2019-07-11,11343.12,12099.91,11002.39,12099.12,102929.11,1185222449.66,CDLBELTHOLD_Bear,1.0
155,155,2019-07-12,11797.37,11931.91,11096.61,11343.12,55994.89,647690095.15,NO_PATTERN,0.0
156,156,2019-07-13,11363.97,11835.87,10827.53,11797.37,59187.84,668325183.28,CDLHIKKAKE_Bull,1.0
157,157,2019-07-14,10204.41,11447.92,10118.85,11363.97,76310.21,814667763.32,CDLCLOSINGMARUBOZU_Bear,3.0
158,158,2019-07-15,10850.26,11070.18,9877.02,10204.41,92742.77,965178341.63,NO_PATTERN,0.0
159,159,2019-07-16,9423.44,11025.76,9366.82,10850.26,113537.84,1140137759.72,CDLCLOSINGMARUBOZU_Bear,1.0
160,160,2019-07-17,9696.15,9982.24,9086.51,9423.44,101032.08,965256823.84,CDLSPINNINGTOP_Bull,1.0
161,161,2019-07-18,10638.35,10776.54,9292.61,9696.15,102443.07,1033842556.65,NO_PATTERN,0.0
162,162,2019-07-19,10532.94,10757.41,10135.16,10638.35,62995.33,658190962.53,CDLRICKSHAWMAN_Bull,4.0
163,163,2019-07-20,10759.42,11094.32,10379.19,10532.94,56766.57,608954333.23,CDLHIKKAKE_Bear,1.0
164,164,2019-07-21,10586.71,10833.99,10329.89,10759.42,38379.41,405339891.1,CDLHAMMER_Bull,1.0
165,165,2019-07-22,10325.87,10676.6,10072.07,10586.71,50574.02,524442852.25,NO_PATTERN,0.0
166,166,2019-07-23,9854.15,10328.44,9820.61,10325.87,52754.02,529438124.08,CDLHIKKAKE_Bear,1.0
167,167,2019-07-24,9772.14,9920.54,9535.78,9854.15,54750.78,531611909.42,CDLLONGLEGGEDDOJI_Bull,5.0
168,168,2019-07-25,9882.43,10184.43,9744.7,9772.14,40285.56,403576364.36,NO_PATTERN,0.0
169,169,2019-07-26,9847.45,9890.05,9668.52,9882.43,31960.31,312717110.04,CDLLONGLEGGEDDOJI_Bull,5.0
170,170,2019-07-27,9478.32,10202.95,9310.47,9847.45,53081.42,512612117.07,NO_PATTERN,0.0
